id;direccion;latitud;longitud;nombre
805;25+De+Mayo%2C+Hilario+Cuadros+esq%2C+D5730+Villa+Mercedes%2C+San+Luis ;-33665490000;-65467100000;Villa Mercedes - Terminal (San Luis - ARG) (San Luis - ARG)
807;Winter+N%C2%B030 ;-34589082213;-60949384744;Junin - Terminal (Buenos Aires - ARG) (Buenos Aires - ARG)
810;Espa%C3%B1a+N%C2%B0548+%28Esquina+Casalins%29 ;-34134701567;-63390170440;Laboulaye - Terminal (Cordoba - ARG) (Cordoba - ARG)
811; ; ;;El Volcan (San Luis - ARG)
814; ; ;;Villa Las Rosas (Cordoba - ARG)
819; ; ;;Mina Clavero (Cordoba - ARG)
820; ; ;;Villa Dolores (Cordoba - ARG)
837; ; ;;Asuncion (Paraguay) (Extranjero - PRY)
846; ;-35990021500;-62720990200;Trenque Lauquen - Terminal (Buenos Aires - ARG)
878;Terminal+de+%C3%93mnibus+-+Jose+Vela+e+Italia ;-33913729000;-60586451000;Pergamino - Terminal (Buenos Aires - ARG)
910; ;-31313782400;-64461824300;Bialet Masse - Terminal (Cordoba - ARG)
915; ;-37394266400;-68925476100;Rincon de los Sauces (Neuquen - ARG)
928; ;-39078025300;-67244364000;Ingeniero Huergo - Acceso Arco (Rio Negro - ARG)
970; ;-27470848600;-55746050500;Candelaria - Acceso (Misiones - ARG)
971; ;-26028751200;-54586472500;Puerto Esperanza - Acceso (Misiones - ARG)
977; ; ;;Pozo Azul (Misiones - ARG)
986; ; ;;San Antonio (Misiones - ARG)
987; ; ;;Bernardo de Irigoyen (Misiones - ARG)
1002; ;-29714221300;-57214951500;Paso de los Libres - PUMA (Corrientes - ARG)
1004;Ruta+23+y+8 ;-34531000000;-58700020000;San Miguel - Centro de Trasbordo (Buenos Aires - ARG)
1012; ;-34471730400;-58655894500;Pacheco - Terminal (Buenos Aires - ARG)
1017; ; ;;Jesus Maria (VCP) (Cordoba - ARG)
1018; ;-29899535600;-63723202900;Villa M de Rio Seco (Cos) (Cordoba - ARG)
1019; ; ;;Villa Ojo de Agua (LF) (Cordoba - ARG)
